,Parti,Spørger,Dato
0,ALT,Anders Stjernholm ,7
1,ALT,Carolina Magdalene Maier ,24
2,ALT,Christian Juhl ,1
3,ALT,Christian Poll ,65
4,ALT,Erik Christensen ,2
5,ALT,Josephine Fock ,26
6,ALT,Julius Graakjær Grantzau ,1
7,ALT,Mira Issa Bloch ,4
8,ALT,Pernille Schnoor ,75
9,ALT,Rasmus Nordqvist ,63
10,ALT,Rasmus Prehn ,1
11,ALT,René Gade ,17
12,ALT,Sikandar Siddique ,1
13,ALT,Susanne Zimmer ,2
14,ALT,Torsten Gejl ,2
15,ALT,Uffe Elbæk ,47
16,DF,Aase D. Madsen ,9
17,DF,Alex Ahrendtsen ,125
18,DF,Anita Christensen ,4
19,DF,Anita Knakkergaard ,91
20,DF,Bent Bøgsted ,86
21,DF,Birthe Skaarup ,327
22,DF,Carsten Kudsk ,24
23,DF,Christian Langballe ,111
24,DF,Claus Kvist Hansen ,39
25,DF,Colette L. Brix ,123
26,DF,Dennis Flydtkjær ,339
27,DF,Dorthe Ullemose ,15
28,DF,Hans Kristian Skibby ,365
29,DF,Henrik Brodersen ,36
30,DF,Ib Poulsen ,37
31,DF,Jacob Jensen ,1
32,DF,Jan Erik Messmann ,23
33,DF,Jan Rytkjær Callesen ,3
34,DF,Jens Henrik Thulesen Dahl ,93
35,DF,Jeppe Jakobsen ,24
36,DF,Jesper Langballe ,36
37,DF,Jørn Dohrmann ,185
38,DF,Karin Nødgaard ,255
39,DF,Karina Adsbøl ,197
40,DF,Karina Due ,18
41,DF,Karsten Lauritzen ,4
42,DF,Kenneth Kristensen Berth ,178
43,DF,Kim Christiansen ,256
44,DF,Kristian Thulesen Dahl ,133
45,DF,Liselott Blixt ,908
46,DF,Marie Krarup ,52
47,DF,Marlene Harpsøe ,139
48,DF,Martin Henriksen ,753
49,DF,Merete Dea Larsen ,26
50,DF,Mette Frederiksen ,1
51,DF,Mette Hjermind Dencker ,92
52,DF,Mia Falkenberg ,50
53,DF,Mikkel Dencker ,86
54,DF,Morten Marinus ,99
55,DF,Morten Messerschmidt ,974
56,DF,Per Dalgaard ,22
57,DF,Per Nørhave ,3
58,DF,Pernille Bendixen ,108
59,DF,Peter Kofod ,125
60,DF,Peter Skaarup ,923
61,DF,Pia Adelsteen ,63
62,DF,Pia Kjærsgaard ,64
63,DF,Pia Kristensen ,89
64,DF,Poul Fischer ,1
65,DF,Poul Nødgaard ,15
66,DF,René Christensen ,52
67,DF,Susanne Eilersen ,26
68,DF,Søren Espersen ,433
69,DF,Søren Krarup ,37
70,DF,Tilde Bork ,10
71,DF,Tina Petersen ,165
72,DF,Torsten Schack Pedersen ,1
73,DF,Uno Larsson ,3
74,DF,Walter Christophersen ,65
75,EL,Bruno Jerup ,11
76,EL,Christian Juhl ,114
77,EL,Eva Flyvholm ,17
78,EL,Finn Sørensen ,252
79,EL,Frank Aaen ,1111
80,EL,Henning Hyllested ,143
81,EL,Jakob Sølvhøj ,7
82,EL,Jens Borking ,1
83,EL,Jesper Kiel ,8
84,EL,Johanne Schmidt-Nielsen ,294
85,EL,Jørgen Arbo-Bæhr ,827
86,EL,Kaare Dybvad ,2
87,EL,Keld Albrechtsen ,189
88,EL,Lars Barfoed ,2
89,EL,Lars Dohn ,33
90,EL,Lea Wermelin ,2
91,EL,Line Barfod ,827
92,EL,Mai Villadsen ,12
93,EL,Majbrit Berlau ,36
94,EL,Maria Reumert Gjerding ,26
95,EL,Nikolaj Villumsen ,123
96,EL,Peder Hvelplund ,18
97,EL,Pelle Dragsted ,11
98,EL,Per Clausen ,5342
99,EL,Pernille Skipper ,185
100,EL,Pernille Søndergaard ,2
101,EL,Pia Boisen ,11
102,EL,Rasmus Vestergaard Madsen ,10
103,EL,Rosa Lund ,174
104,EL,Rune Lund ,936
105,EL,Sarah Glerup ,2
106,EL,Signe Færch ,8
107,EL,Stine Brix ,121
108,EL,Søren Egge Rasmussen ,136
109,EL,Søren Søndergaard ,107
110,EL,Victoria Velasquez ,2
111,EL,Øjvind Vilsholm ,2
112,FF,Anfinn Kallsberg ,1
113,IA,Aaja Chemnitz Larsen ,13
114,IA,Johan Lund Olsen ,4
115,IA,Juliane Henningsen ,4
116,IA,Kuupik Kleist ,9
117,IA,Sara Olsvig ,14
118,IA,Sofia Rossen ,5
119,JF,Aksel V. Johannesen ,1
120,JF,Bjarni Hammer ,1
121,JF,Henrik Old ,2
122,JF,Sjúrður Skaale ,111
123,KD,Bodil Kornbek ,9
124,KD,Jann Sjursen ,13
125,KD,Mogens Nørgård ,11
126,KD,Per Ørum Jørgensen ,28
127,KD,Tove Videbæk ,38
128,KF,Anders Johansson ,11
129,KF,Benedikte Kiær ,89
130,KF,Birgitte Bergman ,2
131,KF,Brian Mikkelsen ,137
132,KF,Brigitte Klintskov Jerkel ,7
133,KF,Carina Christensen ,7
134,KF,Charlotte Dyremose ,11
135,KF,Christian Langballe ,1
136,KF,Christian Wedell-Neergaard ,5
137,KF,Daniel Rugholm ,3
138,KF,Else Theill Sørensen ,1
139,KF,Helge Adam Møller ,1
140,KF,Jakob Axel Nielsen ,13
141,KF,Jørgen S. Lundsgaard ,2
142,KF,Karsten Lauritzen ,1
143,KF,Lars Barfoed ,33
144,KF,Lene Espersen ,22
145,KF,Mai Mercado ,47
146,KF,Mette Abildgaard ,21
147,KF,Mike Legarth ,47
148,KF,Naser Khader ,133
149,KF,Per Larsen ,9
150,KF,Per Stig Møller ,2
151,KF,Rasmus Jarlov ,8
152,KF,Søren Pape Poulsen ,15
153,KF,Tom Behnke ,42
154,KF,Vivi Kier ,1
155,LA,Anders Samuelsen ,80
156,LA,Christina Egelund ,9
157,LA,Danny K. Malkowski ,1
158,LA,Henrik Dahl ,2
159,LA,Joachim B. Olsen ,30
160,LA,Laura Lindahl ,3
161,LA,Leif Mikkelsen ,17
162,LA,May-Britt Kattrup ,5
163,LA,Merete Riisager ,20
164,LA,Mette Bock ,57
165,LA,Ole Birk Olesen ,44
166,LA,Thyra Frank ,2
167,LA,Villum Christensen ,32
168,NB,Lars Boje Mathiesen ,10
169,NB,Pernille Vermund ,3
170,NB,Peter Seier Christensen ,3
171,NQ,Aleqa Hammond ,10
172,NY,Inge-Lene Ebdrup ,2
173,RV,Abbas Razvi ,1
174,RV,Andreas Steenberg ,9
175,RV,Anne Marie Geisler Andersen ,3
176,RV,Bente Dahl ,177
177,RV,Charlotte Fischer ,175
178,RV,Elisabeth Arnold ,6
179,RV,Elisabeth Geday ,69
180,RV,Elsebeth Gerner Nielsen ,182
181,RV,Ida Auken ,98
182,RV,Ida Jørgensen ,12
183,RV,Jens Rohde ,26
184,RV,Johs. Poulsen ,123
185,RV,Jørgen Poulsen ,3
186,RV,Katrine Robsøe ,1
187,RV,Kristian Hegaard ,5
188,RV,Liv Holm Andersen ,1
189,RV,Lone Dybkjær ,64
190,RV,Lotte Rod ,3
191,RV,Manu Sareen ,5
192,RV,Margrethe Vestager ,192
193,RV,Marianne Jelved ,11
194,RV,Marlene Borst Hansen ,1
195,RV,Martin Lidegaard ,37
196,RV,Morten Helveg Petersen ,130
197,RV,Morten Østergaard ,195
198,RV,Niels Helveg Petersen ,10
