None,no_label
Mogens Lykketoft,Socialdemokratiet
Peter Juel Jensen,Venstre
Niels Sindal,Socialdemokratiet
Henrik Brodersen,Dansk Folkeparti
Høgni Hoydal,Tjóðveldi
Kristen Touborg,SF
Mike Legarth,Det Konservative Folkeparti
Niels Helveg Petersen,Radikale Venstre
Frank Aaen,Enhedslisten
Claus Hjort Frederiksen,Venstre
Leif Lahn Jensen,Socialdemokratiet
Bent Bøgsted,Dansk Folkeparti
Hanne Agersnap,SF
Knud Kristensen,Det Konservative Folkeparti
Inger Støjberg,Venstre
Torsten Schack Pedersen,Venstre
John Dyrby Paulsen,Socialdemokratiet
Mikkel Dencker,Dansk Folkeparti
Kristian Jensen,Venstre
Jesper Petersen,Socialdemokratiet
Gitte Lillelund Bech,Venstre
Kim Andersen,Venstre
Lise von Seelen,Socialdemokratiet
Søren Krarup,Dansk Folkeparti
Rasmus Jarlov,Det Konservative Folkeparti
Tina Nedergaard,Venstre
Jacob Jensen,Venstre
Morten Bødskov,Socialdemokratiet
Tina Petersen,Dansk Folkeparti
Ole Sohn,Socialdemokratiet
Villum Christensen,Liberal Alliance
Mads Rørvig,Venstre
Klaus Hækkerup,Socialdemokratiet
Jens Peter Vernersen,Socialdemokratiet
Troels Lund Poulsen,Venstre
Søren Espersen,Dansk Folkeparti
Hans Christian Thoning,Venstre
Anne Grete Holmsgaard,SF
Troels Christensen,Venstre
Mogens Jensen,Socialdemokratiet
Pernille Frahm,SF
Henrik Rasmussen,Det Konservative Folkeparti
Per Clausen,Enhedslisten
Per Stig Møller,Det Konservative Folkeparti
Lars Christian Lilleholt,Venstre
Ole Hækkerup,Socialdemokratiet
Per Dalgaard,Dansk Folkeparti
Jakob Axel Nielsen,Det Konservative Folkeparti
Lykke Friis,Venstre
Helge Adam Møller,Det Konservative Folkeparti
Karen Hækkerup,Socialdemokratiet
Karsten Nonbo,Venstre
Karina Lorentzen Dehnhardt,SF
Dennis Flydtkjær,Dansk Folkeparti
Marlene Harpsøe,Dansk Folkeparti
Lone Dybkjær,Radikale Venstre
Line Barfod,Enhedslisten
Simon Emil Ammitzbøll,Liberal Alliance
Karsten Lauritzen,Venstre
Maja Panduro,Socialdemokratiet
Hans Kristian Skibby,Dansk Folkeparti
Meta Fuglsang,SF
Naser Khader,Det Konservative Folkeparti
Johanne Schmidt-Nielsen,Enhedslisten
Birthe Rønn Hornbech,Venstre
Malou Aamund,Venstre
Kirsten Brosbøl,Socialdemokratiet
Jørgen S. Lundsgaard,Det Konservative Folkeparti
Helge Sander,Venstre
Per Bisgaard,Venstre
Rasmus Prehn,Socialdemokratiet
Flemming Bonne,SF
Karen Ellemann,Venstre
Erling Bonnesen,Venstre
Pernille Vigsø Bagge,SF
Orla Hav,Socialdemokratiet
Vivi Kier,Det Konservative Folkeparti
Anne Marie Geisler Andersen,Radikale Venstre
Ellen Trane Nørby,Venstre
Karin Nødgaard,Dansk Folkeparti
Carina Christensen,Det Konservative Folkeparti
Helle Sjelle,Det Konservative Folkeparti
Johs. Poulsen,Radikale Venstre
Eyvind Vesselbo,Venstre
Benny Engelbrecht,Socialdemokratiet
Jørn Dohrmann,Dansk Folkeparti
Ida Auken,Radikale Venstre
Per Ørum Jørgensen,Det Konservative Folkeparti
Thomas Jensen,Socialdemokratiet
Nanna Westerby,Socialdemokratiet
Holger K. Nielsen,SF
Marianne Jelved,Radikale Venstre
Anne-Mette Winther Christiansen,Venstre
Carsten Hansen,Socialdemokratiet
Mette Gjerskov,Socialdemokratiet
Per Husted,Socialdemokratiet
Steen Konradsen,Det Konservative Folkeparti
Margrethe Vestager,Radikale Venstre
Jesper Langballe,Dansk Folkeparti
Jonas Dahl,SF
Charlotte Sahl-Madsen,Det Konservative Folkeparti
